country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.92469,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,99.86562,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,99.65443,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,99.18345,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,98.61077,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,98.31012,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,98.12232,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,97.95897,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,97.85689,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-01,97.6203,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-02,97.31078,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.0717,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-04,96.90445,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-05,96.49539,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-06,96.08616,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.05842,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-08,96.32501,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-09,96.53947,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-10,96.64154,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-11,96.69122,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-12,96.91212,
USA,CCI,AMPLITUD,LTRENDIDX,M,2023-01,97.27818,
